ID,Make,Vehicle_Class,Engine_Size,Cylinders,Transmission,Fuel_Type,Fuel_Consumption_City,Fuel_Consumption_Hwy,Fuel_Consumption_Comb,CO2_Emissions
326,Ford,Pickup truck: Standard,3.3,6,AS6,E,17.5,13.7,15.8,263
327,Ford,Pickup truck: Standard,3.5,6,AS10,X,14.3,10.5,12.5,295
328,Ford,Pickup truck: Standard,3.5,6,AS10,X,14.7,10.7,12.9,303
329,Ford,Pickup truck: Standard,3.5,6,AS10,X,14.7,11.2,13.1,308
330,Ford,Pickup truck: Standard,3.5,6,AS10,X,13.8,11.2,12.6,296
331,Ford,Pickup truck: Standard,5,8,AS10,X,15.1,11,13.3,312
332,Ford,Pickup truck: Standard,5,8,AS10,E,20,15.6,18,300
333,Ford,Pickup truck: Standard,5,8,AS10,X,15.7,11.8,13.9,326
334,Ford,Pickup truck: Standard,5,8,AS10,E,20,15.6,18,300
335,Ford,Pickup truck: Standard,5,8,AS10,X,16.8,12.4,14.8,347
336,Ford,Pickup truck: Standard,5,8,AS10,E,21.3,17.2,19.5,323
337,Ford,Pickup truck: Standard,3.5,6,AS10,X,15.3,13.1,14.3,336
338,Ford,SUV: Standard,3.5,6,AS6,X,14.7,10.2,12.7,298
339,Ford,SUV: Standard,3.5,6,AS6,X,14.7,10.7,12.9,303
340,Ford,SUV: Standard,3.5,6,AS6,X,15.7,11.2,13.7,322
341,Ford,Subcompact,1.6,4,AM6,X,8.6,6.4,7.6,178
342,Ford,Subcompact,1.6,4,M5,X,8.8,6.8,7.9,184
343,Ford,Subcompact,1.6,4,M6,X,9.2,7.4,8.4,196
344,Ford,Mid-size,1.5,4,AS6,X,10,7,8.7,204
345,Ford,Mid-size,2,4,AV,X,5.5,5.6,5.6,131
346,Ford,Two-seater,3.5,6,AM7,Z,20.4,13.1,17.1,402
